Variant,Year,Trades,Wins,Losses,Win Rate %,Gross Return %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Candidate Source
T1_63D,2012,21,8,13,38.095238095238095,-1.1769672348816156,-1.7178507547504274,-0.10936763486026062,-0.10936763486026062,0.8303557899773862,-6.495401568883363,98282.14924524957,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2013,24,10,14,41.66666666666667,2.150928121831095,0.9673863946660033,0.10922823308306284,0.10922823308306284,1.1125891568015758,-4.743473316644331,99232.91738543345,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2014,34,20,14,58.82352941176471,16.74316253442942,14.961182305538134,0.5954678285336857,0.5954678285336857,2.33386642106619,-2.432227413012533,114079.3350625722,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2015,21,3,18,14.285714285714285,-8.409126227716966,-8.828457645061471,-0.5960392601406752,-0.5960392601406752,0.31741014988497973,-8.848182324954756,104007.88928480525,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2016,17,7,10,41.17647058823529,1.7307712539189182,1.0440656460166675,0.09640069849720614,0.09640069849720614,1.1327889583076889,-5.943852522141824,105093.79992597495,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2017,20,10,10,50.0,5.663011863058701,5.019849257825837,0.34739947127818754,0.34739947127818754,1.6179378293056594,-4.77077973786777,110369.35026157998,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2018,24,9,15,37.5,0.8803521333160561,-0.22693192139023877,0.0016682832708568296,0.0016682832708568296,0.9912915436281835,-5.422421965719337,110118.88697440545,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2019,22,9,13,40.909090909090914,2.0042700549099646,1.1207235165805018,0.060389245601506464,0.060389245601506464,1.1154734721813446,-5.624178474652641,111353.01523692432,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2020,17,8,9,47.05882352941176,3.315392023304668,3.614305342753288,0.22773710773688224,0.22773710773688224,1.3748654262903819,-5.054275949678488,115377.65321594937,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_63D,2021,35,16,19,45.714285714285715,10.051386743472666,7.9105414612818725,0.3443519713173695,0.3443519713173695,1.5775647954309346,-7.388044676650429,124504.65031065106,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
