Date,Variant,Cash,Open Position Value,Total Equity,Peak Equity,Drawdown %,Number Open Positions,Daily Return %,Candidate Source,Survivorship Bias Warning
2014-10-29,T2_30D,60528.92065279654,58070.37141609192,118599.29206888846,119281.13927118949,-0.5716303570431402,3,0.4148936762814248,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-30,T2_30D,60528.92065279654,58714.19134902954,119243.11200182608,119281.13927118949,-0.03188037069041805,3,0.5428530994634029,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-10-31,T2_30D,60528.92065279654,58293.281370162964,118822.20202295951,119281.13927118949,-0.3847525694624432,3,-0.35298473161294863,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-03,T2_30D,60528.92065279654,57888.188735961914,118417.10938875846,119281.13927118949,-0.7243642102265913,3,-0.3409233521213251,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-05,T2_30D,60528.92065279654,57716.81431770325,118245.73497049979,119281.13927118949,-0.8680368975481301,3,-0.14472099440973052,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-07,T2_30D,60528.92065279654,59414.24467277527,119943.16532557181,119943.16532557181,0.0,3,1.4355108499224167,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-10,T2_30D,74439.19154224444,46263.95819091797,120703.14973316241,120703.14973316241,0.0,2,0.6336204364189468,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-11,T2_30D,74439.19154224444,46044.93380737305,120484.12534961749,120703.14973316241,-0.1814570572757357,2,-0.1814570572757357,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-12,T2_30D,74439.19154224444,46203.57467651367,120642.76621875812,120703.14973316241,-0.05002646122971299,2,0.13166951968177631,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-13,T2_30D,74439.19154224444,45901.53503417969,120340.72657642413,120703.14973316241,-0.30025990004360903,2,-0.25035868440409503,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-14,T2_30D,74439.19154224444,45507.054290771484,119946.24583301593,120703.14973316241,-0.627078830850536,2,-0.3278031923446001,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-17,T2_30D,74439.19154224444,45678.94564819336,120118.1371904378,120703.14973316241,-0.48467048624488696,2,0.14330699241822398,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-18,T2_30D,74439.19154224444,45289.89538574219,119729.08692798663,120703.14973316241,-0.8069903787342181,2,-0.3238896902258537,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-19,T2_30D,55572.73362474304,63926.80758666992,119499.54121141296,120703.14973316241,-0.9971641373156093,3,-0.19172092802456353,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-20,T2_30D,71720.51292652785,47594.80749511719,119315.32042164504,120703.14973316241,-1.149787155169879,2,-0.1541602485669813,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-21,T2_30D,100317.34873035231,18435.42041015625,118752.76914050856,120703.14973316241,-1.6158489624881756,1,-0.4714828566427909,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-24,T2_30D,100317.34873035231,18321.43359375,118638.78232410231,120703.14973316241,-1.710284622749103,1,-0.09598665970591558,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-25,T2_30D,100317.34873035231,18412.40625,118729.75498035231,120703.14973316241,-1.6349157061540387,1,0.07668036915742249,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-26,T2_30D,100317.34873035231,18404.73193359375,118722.08066394606,120703.14973316241,-1.6412737145599654,1,-0.0064636841940135525,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-27,T2_30D,100317.34873035231,18456.25048828125,118773.59921863356,120703.14973316241,-1.5985916844709402,1,0.043394248483008546,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-11-28,T2_30D,100317.34873035231,18406.9248046875,118724.27353503981,120703.14973316241,-1.6394569673594095,1,-0.041529164661380236,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-01,T2_30D,100317.34873035231,18318.14794921875,118635.49667957106,120703.14973316241,-1.7130067095699641,1,-0.07477565692793897,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-02,T2_30D,100317.34873035231,18422.267578125,118739.61630847731,120703.14973316241,-1.6267458049155081,1,0.08776431322867762,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-03,T2_30D,100317.34873035231,18470.49609375,118787.84482410231,120703.14973316241,-1.5867895024233025,1,0.04061703846145459,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-04,T2_30D,100317.34873035231,18400.3505859375,118717.69931628981,120703.14973316241,-1.6449035681851076,1,-0.05905108213417609,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-05,T2_30D,108933.37248699143,9535.700958251953,118469.07344524338,120703.14973316241,-1.8508848301455938,1,-0.20942611967574853,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-08,T2_30D,108933.37248699143,9692.86148071289,118626.23396770432,120703.14973316241,-1.7206806699324062,1,0.1326595354302018,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-09,T2_30D,108933.37248699143,9608.797439575195,118542.16992656662,120703.14973316241,-1.7903259454066012,1,-0.07086462945504746,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-10,T2_30D,108933.37248699143,9624.635604858398,118558.00809184983,120703.14973316241,-1.7772043613234922,1,0.013360785695937238,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-11,T2_30D,108933.37248699143,9663.622192382812,118596.99467937424,120703.14973316241,-1.7449048002841971,1,0.03288397650389463,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-12,T2_30D,108933.37248699143,9641.692291259766,118575.0647782512,120703.14973316241,-1.7630732583331588,1,-0.018491110320573156,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-15,T2_30D,108933.37248699143,9564.938507080078,118498.31099407151,120703.14973316241,-1.8266621409342876,1,-0.06473012207349749,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-16,T2_30D,107267.81892146524,9273.763275146484,116541.58219661172,120703.14973316241,-3.4477704564881972,1,-1.6512714662723638,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-17,T2_30D,78229.27614308374,38028.425689697266,116257.70183278101,120703.14973316241,-3.682959318136203,2,-0.2435871887785046,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-18,T2_30D,78229.27614308374,38486.12530517578,116715.40144825952,120703.14973316241,-3.3037648923980645,2,0.39369401619244737,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-19,T2_30D,78229.27614308374,38571.26039123535,116800.5365343191,120703.14973316241,-3.2332322789179857,2,0.07294246089477596,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-22,T2_30D,78229.27614308374,39399.60206604004,117628.87820912378,120703.14973316241,-2.546968766626967,2,0.7091933816256946,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-23,T2_30D,78229.27614308374,39288.87538146973,117518.15152455347,120703.14973316241,-2.638703476794102,2,-0.09413222862965087,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-24,T2_30D,78229.27614308374,38754.02833557129,116983.30447865503,120703.14973316241,-3.0818129126959914,2,-0.45511866801843937,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-26,T2_30D,78229.27614308374,38776.809997558594,117006.08614064234,120703.14973316241,-3.062938788832892,2,0.01947428488948688,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-29,T2_30D,78229.27614308374,38918.94795227051,117148.22409535425,120703.14973316241,-2.945180507440781,2,0.12147911224127395,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-30,T2_30D,78229.27614308374,39030.451126098626,117259.72726918236,120703.14973316241,-2.852802492389306,2,0.09518127542194055,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-12-31,T2_30D,78229.27614308374,38887.78091430664,117117.05705739038,120703.14973316241,-2.9710017374855457,2,-0.12167025722690239,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-01,T2_30D,78229.27614308374,38864.159439086914,117093.43558217066,120703.14973316241,-2.9905716288031625,2,-0.020169116107615626,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-02,T2_30D,78229.27614308374,39308.56269836426,117537.838841448,120703.14973316241,-2.622392952223651,2,0.37952875587587975,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-05,T2_30D,78229.27614308374,39087.77717590332,117317.05331898706,120703.14973316241,-2.805309075745721,2,-0.18784208101594313,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-06,T2_30D,78229.27614308374,38388.06596374512,116617.34210682886,120703.14973316241,-3.385004977389583,2,-0.596427537483124,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-07,T2_30D,51602.73137034237,64345.453125,115948.18449534237,120703.14973316241,-3.939387868777089,3,-0.5738062619138562,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-08,T2_30D,51602.73137034237,65892.99266052246,117495.72403086483,120703.14973316241,-2.6572841797320224,3,1.3346819894231476,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-09,T2_30D,51602.73137034237,65667.34330749512,117270.07467783749,120703.14973316241,-2.844229883739069,3,-0.1920489914748469,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-12,T2_30D,51602.73137034237,65781.98469543457,117384.71606577694,120703.14973316241,-2.74925192484331,3,0.09775843347452629,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-13,T2_30D,51602.73137034237,65285.671875,116888.40324534237,120703.14973316241,-3.1604365720805716,3,-0.4228087242264644,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-14,T2_30D,85768.23722326662,30290.506896972656,116058.74412023928,120703.14973316241,-3.8477915640068083,1,-0.7097873716023662,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-15,T2_30D,116847.83123495229,0.0,116847.83123495229,120703.14973316241,-3.194049622344608,0,0.6799031996206129,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-16,T2_30D,116847.83123495229,0.0,116847.83123495229,120703.14973316241,-3.194049622344608,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-19,T2_30D,116847.83123495229,0.0,116847.83123495229,120703.14973316241,-3.194049622344608,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-20,T2_30D,116847.83123495229,0.0,116847.83123495229,120703.14973316241,-3.194049622344608,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2015-01-21,T2_30D,116847.83123495229,0.0,116847.83123495229,120703.14973316241,-3.194049622344608,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
