Ticker,Signal Date,Signal_New,Setup_New,Market Regime_New,Technical Score_New,Actionability Score_New,Entry Low_New,Entry High_New,Stop Loss_New,Target 1_New,Target 2_New,R:R T1_New,Signal_Ref,Setup_Ref,Market Regime_Ref,Technical Score_Ref,Actionability Score_Ref,Entry Low_Ref,Entry High_Ref,Stop Loss_Ref,Target 1_Ref,Target 2_Ref,R:R T1_Ref,_merge,Candidate Source,Survivorship Bias Warning
TCS.NS,2014-07-21,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,66.0,20.0,888.1985,905.1392,854.5147,933.8733,1031.7005,0.5676,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,66.0,20.0,888.1985,905.1392,854.5147,933.8735,1031.7003,0.5676,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-07-22,WATCH,BREAKOUT,STRONG BULL,71.0,72.0,935.741,949.7772,868.5711,1071.5863,1152.7924,1.5,WATCH,BREAKOUT,STRONG BULL,71.0,72.0,935.7412,949.7774,868.5716,1071.586,1152.7918,1.5,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-01,WATCH,PULLBACK,STRONG BULL,76.0,86.0,922.534,938.7886,905.7693,992.8911,1021.3369,1.6385,WATCH,PULLBACK,STRONG BULL,76.0,86.0,922.5339,938.7885,905.7692,992.8907,1021.337,1.6385,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-04,WATCH,PULLBACK,STRONG BULL,74.0,84.0,925.5183,941.7836,908.764,992.8911,1024.3326,1.5478,WATCH,PULLBACK,STRONG BULL,74.0,84.0,925.5183,941.7835,908.7634,992.8907,1024.3338,1.5478,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-05,WATCH,PULLBACK,STRONG BULL,74.0,84.0,926.9885,943.2854,912.7287,992.8911,1019.677,1.6234,WATCH,PULLBACK,STRONG BULL,74.0,84.0,926.9885,943.2854,912.7287,992.8907,1019.6769,1.6234,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-06,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,76.0,35.0,938.4287,953.5748,921.3448,992.8911,1034.1497,1.2199,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,76.0,35.0,938.4288,953.5746,921.3444,992.8907,1034.15,1.2199,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-07,WATCH,PULLBACK,STRONG BULL,74.0,84.0,931.1867,939.5564,909.5809,992.8911,1014.495,1.7793,WATCH,PULLBACK,STRONG BULL,74.0,84.0,931.1867,939.5565,909.5811,992.8907,1014.495,1.7793,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-08,WATCH,PULLBACK,BULL,76.0,86.0,934.4798,942.9423,913.3676,992.8911,1016.8792,1.6889,WATCH,PULLBACK,BULL,76.0,86.0,934.4798,942.942,913.3673,992.8907,1016.8788,1.6889,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-11,BUY,PULLBACK,STRONG BULL,72.0,85.0,926.1621,939.0237,909.9086,992.8911,1011.8113,1.8502,BUY,PULLBACK,STRONG BULL,72.0,85.0,926.1619,939.0235,909.9085,992.8907,1011.811,1.8502,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-12,BUY,PULLBACK,STRONG BULL,71.0,83.0,920.5464,936.0456,906.9845,992.8911,1008.6985,1.9561,BUY,PULLBACK,STRONG BULL,71.0,83.0,920.5467,936.046,906.9849,992.8907,1008.6987,1.956,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-13,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,79.0,35.0,941.0782,951.0641,921.3448,992.8911,1025.3626,1.4074,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,79.0,35.0,941.0782,951.0641,921.3444,992.8907,1025.3635,1.4074,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-14,BUY,PULLBACK,STRONG BULL,71.0,85.0,920.5524,936.0396,907.0011,992.8911,1008.6359,1.9578,BUY,PULLBACK,STRONG BULL,71.0,85.0,920.5528,936.04,907.0015,992.8907,1008.6362,1.9578,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-18,BUY,PULLBACK,STRONG BULL,71.0,93.0,920.7251,935.8669,907.476,992.8911,1006.8442,2.0085,BUY,PULLBACK,STRONG BULL,71.0,93.0,920.7255,935.8673,907.4764,992.8907,1006.8445,2.0085,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-19,WATCH,PULLBACK,STRONG BULL,64.0,85.0,918.5283,927.6496,898.4376,992.8911,1000.6797,2.2334,WATCH,PULLBACK,STRONG BULL,64.0,85.0,918.528,927.6493,898.4373,992.8907,1000.6793,2.2334,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-08-20,WATCH,PULLBACK,STRONG BULL,60.0,85.0,918.4695,926.7744,898.63,992.8911,997.1355,2.3492,WATCH,PULLBACK,STRONG BULL,60.0,85.0,918.4691,926.7743,898.6299,992.8907,997.1353,2.3492,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-09-04,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,68.0,20.0,944.5025,959.4288,919.7936,995.1735,1058.517,0.9018,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,68.0,20.0,944.5024,959.4288,919.7936,995.1735,1058.5169,0.9018,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-09-12,WATCH,PULLBACK,STRONG BULL,73.0,84.0,959.856,973.8735,947.5711,1014.5748,1039.6293,1.5474,WATCH,PULLBACK,STRONG BULL,73.0,84.0,959.8559,973.8734,947.5711,1014.5749,1039.6292,1.5474,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-09-15,WATCH,PULLBACK,STRONG BULL,73.0,84.0,960.7681,973.2233,946.1848,1014.5748,1040.8194,1.5294,WATCH,PULLBACK,STRONG BULL,73.0,84.0,960.7681,973.2234,946.185,1014.5749,1040.8197,1.5294,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-09-16,WATCH,PULLBACK,BULL,80.0,85.0,962.1493,970.3892,944.0186,1014.5748,1036.3159,1.6756,WATCH,PULLBACK,BULL,80.0,85.0,962.1492,970.3892,944.0185,1014.5749,1036.316,1.6756,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-09-19,WATCH,BREAKOUT,STRONG BULL,80.0,79.0,1016.6039,1031.853,962.9444,1135.2159,1204.1245,1.5,WATCH,BREAKOUT,STRONG BULL,80.0,79.0,1016.6041,1031.8531,962.9444,1135.2162,1204.1249,1.5,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-09-23,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,83.0,35.0,980.94,997.9108,962.9444,1042.3454,1085.3267,1.2708,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,83.0,35.0,980.94,997.9108,962.9444,1042.3452,1085.3267,1.2708,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-09-30,WAIT FOR BETTER ENTRY,PULLBACK,BULL,85.0,20.0,996.3242,1015.2044,968.011,1058.4939,1133.1879,0.9173,WAIT FOR BETTER ENTRY,PULLBACK,BULL,85.0,20.0,996.3242,1015.2044,968.0108,1058.4939,1133.1883,0.9173,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-10-07,WAIT FOR BETTER ENTRY,PULLBACK,NEUTRAL,85.0,20.0,1001.7312,1021.811,973.739,1065.9317,1141.9912,0.9178,WAIT FOR BETTER ENTRY,PULLBACK,NEUTRAL,85.0,20.0,1001.7313,1021.8111,973.7389,1065.9317,1141.9915,0.9178,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-10-08,WAIT FOR BETTER ENTRY,PULLBACK,NEUTRAL,83.0,35.0,1003.0717,1020.7374,973.739,1080.2727,1138.2334,1.2668,WAIT FOR BETTER ENTRY,PULLBACK,NEUTRAL,83.0,35.0,1003.0717,1020.7374,973.7389,1080.2736,1138.2335,1.2668,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
