Dataset,Era,Feature,Rows,Available Rows,Mean,Std,Min,Median,Max
signal_state,2021-2023,Initial Risk %,14079,3604,5.04363243308,2.20573347343,1.95210376149,4.48189595912,18.7999619389
signal_state,2021-2023,Market Score,14079,14079,70.3238866397,27.6317223684,0,80,100
signal_state,2021-2023,NIFTY ADX,14079,14079,25.1196854638,8.76244801862,8.77668208598,23.3583519763,50.1896243111
signal_state,2021-2023,NIFTY ATR %,14079,14079,1.21149586327,0.371062631743,0.685064524028,1.14109508862,2.26463604742
signal_state,2021-2023,NIFTY Close,14079,14079,17384.8154626,1603.61135301,13634.5996094,17530.3007812,21778.6992188
signal_state,2021-2023,NIFTY Daily RSI,14079,14079,56.1411662939,13.0227814476,26.7445046448,55.6810226224,85.5987070247
signal_state,2021-2023,NIFTY Daily ST,14079,14079,17388.5559837,1592.85153058,13541.9745715,17630.8296008,21145.0025923
signal_state,2021-2023,NIFTY Daily ST Direction,14079,14079,0.0310391363023,0.999553668594,-1,1,1
signal_state,2021-2023,NIFTY Distance SMA20 %,14079,14079,0.580795955644,2.24456562194,-6.49427512607,0.561839036252,6.03036342121
signal_state,2021-2023,NIFTY Distance SMA200 %,14079,14079,7.19681698841,7.90801464346,-11.2878529032,5.97983388453,30.0547696484
signal_state,2021-2023,NIFTY Distance SMA50 %,14079,14079,1.49354499563,3.56654150664,-8.64751684846,1.49469308672,9.82194865806
signal_state,2021-2023,NIFTY Drawdown From 252D High %,14079,14079,-4.0791976166,3.79828706688,-17.2297560847,-3.23643547901,0
signal_state,2021-2023,NIFTY Market Score,14079,14079,70.3238866397,27.6317223684,0,80,100
signal_state,2021-2023,NIFTY Return 20D %,14079,14079,1.28288267761,4.04010242944,-10.5626850501,1.1681690558,13.201980366
signal_state,2021-2023,NIFTY Return 5D %,14079,14079,0.318493307395,2.05190112082,-6.78172863674,0.452772588041,9.45865978887
signal_state,2021-2023,NIFTY Return 60D %,14079,14079,4.02018335934,6.96524172102,-12.5912589398,4.26681419718,24.6833415296
signal_state,2021-2023,NIFTY Rolling Volatility 20D %,14079,14079,13.6629228741,5.4407529053,6.28298255541,12.0485310979,30.0295871276
signal_state,2021-2023,NIFTY SMA20,14079,14079,17286.6640078,1563.90629935,13638.5749512,17458.0874023,21165.9900391
signal_state,2021-2023,NIFTY SMA200,14079,14079,16325.0728165,1983.60879487,10993.14625,17013.032251,19142.1908398
signal_state,2021-2023,NIFTY SMA50,14079,14079,17141.3470502,1579.03380904,12917.1760156,17465.5369141,20171.1129687
signal_state,2021-2023,NIFTY Weekly RSI,14079,14079,59.7252790708,10.2026340109,35.7497653672,60.0741528962,80.8752685938
signal_state,2021-2023,NIFTY Weekly ST,14079,14079,16786.4783665,1800.73564,12692.8156077,17239.8491017,20180.3405471
signal_state,2021-2023,NIFTY Weekly ST Direction,14079,14079,0.581646423752,0.813470613642,-1,1,1
signal_state,2021-2023,Overextended,14079,14079,0.30492222459,0.460390830238,0,0,1
signal_state,2021-2023,Price,14079,14079,1448.54223089,1762.4115357,37.1634,876.7538,10467.9365
signal_state,2021-2023,R:R T1,14079,3604,1.1892454495,0.560404823299,0.0011,1.15615,3.4198
signal_state,2021-2023,R:R T2,14079,3604,2.36645818535,0.609597348102,0.2506,2.5,9.5678
signal_state,2021-2023,RS 120D,14079,14079,6.65954908729,18.7754076184,-55.0305,3.9918,137.8392
signal_state,2021-2023,RS 20D,14079,14079,1.02287024647,6.655762333,-21.9601,0.5077,67.1668
signal_state,2021-2023,RS 60D,14079,14079,3.2266828539,11.8949610704,-26.8029,1.7848,116.1032
signal_state,2021-2023,RS120 Cross-Sectional Percentile,14079,14079,52.6315789474,28.8285268578,5.26315789474,52.6315789474,100
signal_state,2021-2023,RS20 Cross-Sectional Percentile,14079,14079,52.6315789474,28.8285268578,5.26315789474,52.6315789474,100
signal_state,2021-2023,RS60 Cross-Sectional Percentile,14079,14079,52.6315789474,28.8285268578,5.26315789474,52.6315789474,100
signal_state,2021-2023,Resistance 1,14079,3312,1452.56569873,1892.11252266,43.0269,909.4393,10522.8057
signal_state,2021-2023,Resistance 2,14079,786,1073.13908181,1488.59569588,49.8629,764.513,9647.9698
signal_state,2021-2023,Stock ATR,14079,14079,31.442816705,38.6073581829,1.33219018243,19.9283825562,313.769512535
signal_state,2021-2023,Stock ATR %,14079,14079,2.3271984779,0.667475133504,1.12939358349,2.2039190252,5.70610712481
signal_state,2021-2023,Stock Average Volume 20,14079,14079,10013342.044,13093611.9693,287487,5064242.45,185829689
signal_state,2021-2023,Stock Breakout High 20,14079,14079,1512.77081211,1838.15585351,37.5951081326,918.492602663,10608.0462484
signal_state,2021-2023,Stock Close,14079,14079,1448.54223126,1762.41153538,37.1634216309,876.75378418,10467.9365234
signal_state,2021-2023,Stock Daily ST,14079,14079,1436.66619456,1748.63401439,33.4964768762,874.099865395,10626.7882643
signal_state,2021-2023,Stock Daily ST Direction,14079,14079,0.183748845799,0.983008136364,-1,1,1
signal_state,2021-2023,Stock High,14079,14079,1463.94986532,1780.65372468,38.4411560561,886.397205125,10608.0462484
signal_state,2021-2023,Stock Low,14079,14079,1433.71510159,1745.27501953,36.103833941,867.110722949,10392.8356182
signal_state,2021-2023,Stock Open,14079,14079,1449.38279228,1763.89960425,36.9237760202,877.397608041,10469.4405493
signal_state,2021-2023,Stock Range / ATR,14079,14079,0.9539707697,0.38693325491,0.118620482278,0.872494929377,4.30186876564
signal_state,2021-2023,Stock Realized Volatility 10D %,14079,14079,23.5948252684,10.6774760841,4.81075111532,21.4786669236,123.74836323
signal_state,2021-2023,Stock Realized Volatility 20D %,14079,14079,24.3181341821,9.19435807368,5.47556385473,22.6764297954,96.6618167916
signal_state,2021-2023,Stock Recent High 20,14079,14079,1512.77081211,1838.15585351,37.5951081326,918.492602663,10608.0462484
signal_state,2021-2023,Stock Relative Volume 20D,14079,14079,1.0053853806,0.56344785323,0.040467621073,0.871911770105,8.7835454131
signal_state,2021-2023,Stock Relative Volume 5D,14079,14079,1.00430312609,0.385149019148,0.0433188103687,0.931709669056,3.99253545684
signal_state,2021-2023,Stock Return 10D %,14079,14079,1.15957548644,5.39912200216,-21.0766036504,0.968894490548,53.489777221
