Policy,Year,Start Equity (Prior Session),End Equity,Return %,First Session,Last Session
T2_30D,2016,100000.0,99531.91355481019,-0.46808644518980813,2016-01-01,2016-12-30
T2_30D,2017,99531.91355481019,105768.4946651091,6.265910990312218,2017-01-02,2017-12-29
T2_30D,2018,105768.4946651091,108090.86651626299,2.195712304034525,2018-01-01,2018-12-31
T2_30D,2019,108090.86651626299,107983.20504441555,-0.09960274657548895,2019-01-01,2019-12-31
T2_30D,2020,107983.20504441555,113098.16776770251,4.7368132120019,2020-01-01,2020-12-31
T2_30D,2021,113098.16776770251,123872.29044979377,9.526345912358835,2021-01-01,2021-12-31
T2_30D,2022,123872.29044979377,111608.53664173324,-9.90032053458405,2022-01-03,2022-12-30
T2_30D,2023,111608.53664173324,118797.8362341252,6.4415319909352675,2023-01-02,2023-12-29
T2_30D,2024,118797.8362341252,122971.30894574871,3.5130881537256853,2024-01-01,2024-12-31
T2_30D,2025,122971.30894574871,119860.11095052536,-2.5300194182660274,2025-01-01,2025-12-31
T2_30D,2026,119860.11095052536,114928.96973710699,-4.114080301038426,2026-01-01,2026-08-28
T2_45D,2016,100000.0,99142.97841924333,-0.8570215807566672,2016-01-01,2016-12-30
T2_45D,2017,99142.97841924333,102550.5068901534,3.4369841669479984,2017-01-02,2017-12-29
T2_45D,2018,102550.5068901534,102024.43852462164,-0.5129846565217422,2018-01-01,2018-12-31
T2_45D,2019,102024.43852462164,100060.66344289955,-1.9248085165871065,2019-01-01,2019-12-31
T2_45D,2020,100060.66344289955,105530.15084056163,5.466171429877931,2020-01-01,2020-12-31
T2_45D,2021,105530.15084056163,119217.29943449564,12.969893897539286,2021-01-01,2021-12-31
T2_45D,2022,119217.29943449564,107029.05685696677,-10.223551980579582,2022-01-03,2022-12-30
T2_45D,2023,107029.05685696677,114109.6342865962,6.615565564678283,2023-01-02,2023-12-29
T2_45D,2024,114109.6342865962,119508.97915409338,4.731716915274875,2024-01-01,2024-12-31
T2_45D,2025,119508.97915409338,116649.60166071978,-2.3926047344833834,2025-01-01,2025-12-31
T2_45D,2026,116649.60166071978,109971.97657850705,-5.7245159753180115,2026-01-01,2026-08-28
T2_63D,2016,100000.0,98758.54495527848,-1.2414550447215178,2016-01-01,2016-12-30
T2_63D,2017,98758.54495527848,103174.02063157113,4.4709808941516105,2017-01-02,2017-12-29
T2_63D,2018,103174.02063157113,102014.60120429717,-1.1237513282671974,2018-01-01,2018-12-31
T2_63D,2019,102014.60120429717,100439.06595925185,-1.5444213146411423,2019-01-01,2019-12-31
T2_63D,2020,100439.06595925185,106361.81874423663,5.896861672715725,2020-01-01,2020-12-31
T2_63D,2021,106361.81874423663,120220.73644126453,13.02997434667208,2021-01-01,2021-12-31
T2_63D,2022,120220.73644126453,106919.96731528184,-11.06362306512817,2022-01-03,2022-12-30
T2_63D,2023,106919.96731528184,112466.1836734076,5.187259683470802,2023-01-02,2023-12-29
T2_63D,2024,112466.1836734076,116728.49398787192,3.7898594717517,2024-01-01,2024-12-31
T2_63D,2025,116728.49398787192,113973.66674918483,-2.360029796129559,2025-01-01,2025-12-31
T2_63D,2026,113973.66674918483,106745.30976890605,-6.342129007910047,2026-01-01,2026-08-28
