Mode,Target,Model Variant,Metric,Point Value,Identity Bootstrap Value,Absolute Difference,Absolute Tolerance,Status
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Overall Success Rate,0.300268096515,0.300268096515,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Top 10% Rows,75,75,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Top 10% Success Rate,0.426666666667,0.426666666667,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Top 10% Lift,1.42095238095,1.42095238095,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Top 20% Rows,150,150,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Top 20% Success Rate,0.373333333333,0.373333333333,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Top 20% Lift,1.24333333333,1.24333333333,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Bottom 20% Rows,150,150,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Bottom 20% Success Rate,0.186666666667,0.186666666667,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,Bottom 20% Lift,0.621666666667,0.621666666667,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Rows,746,746,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Positive Count,224,224,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Prevalence,0.300268096515,0.300268096515,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,ROC AUC,0.512165606185,0.512165606185,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Average Precision,0.302303080869,0.302303080869,2.22044604925e-16,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Brier Score,0.21133581843,0.21133581843,8.32667268469e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Brier Benchmark Score,0.2109965173,0.2109965173,8.32667268469e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Brier Skill Score vs Training Prior,-0.00160808877396,-0.00160808877396,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Log Loss,0.614300855315,0.614300855315,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Accuracy at 0.50,0.699731903485,0.699731903485,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Precision at 0.50,0,0,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Recall at 0.50,0,0,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Specificity at 0.50,1,1,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,F1 at 0.50,0,0,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Overall Success Rate,0.300268096515,0.300268096515,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Top 10% Rows,75,75,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Top 10% Success Rate,0.293333333333,0.293333333333,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,Top 10% Lift,0.976904761905,0.976904761905,0,0,PASS
