Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed,Training Mode
ENTRY_FILLED,2026,RF_FULL,FS3_FULL_SIGNAL_STATE,1069,822,247,0.768942937325,18,97,109,1.4677869,0.0372300000017,,CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,DUMMY_PRIOR,NONE,258,95,163,0.368217054264,52,0,0,6.00000930717e-07,1.03000020317e-05,,NOT_APPLICABLE,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,LOGIT_RULE,FS1_RULE_SUMMARY,258,95,163,0.368217054264,52,5,8,0.0152046000003,0.00703259999864,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,258,95,163,0.368217054264,52,92,101,0.0272503999986,0.00901919999887,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,258,95,163,0.368217054264,52,97,109,0.0308351999993,0.0108674000003,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2016,RF_FULL,FS3_FULL_SIGNAL_STATE,258,95,163,0.368217054264,52,97,109,0.628212199998,0.0345439999983,,CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,DUMMY_PRIOR,NONE,296,105,191,0.35472972973,73,0,0,3.99999407819e-07,8.99999940884e-06,,NOT_APPLICABLE,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,LOGIT_RULE,FS1_RULE_SUMMARY,296,105,191,0.35472972973,73,5,8,0.0190522000012,0.00776970000152,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,296,105,191,0.35472972973,73,92,101,0.0311719999991,0.00958499999979,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,296,105,191,0.35472972973,73,97,109,0.0298304000025,0.0107129999997,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2017,RF_FULL,FS3_FULL_SIGNAL_STATE,296,105,191,0.35472972973,73,97,109,0.660648100002,0.0386495999992,,CONVERGED,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2018,DUMMY_PRIOR,NONE,348,137,211,0.39367816092,71,0,0,5.00000169268e-07,1.02999983937e-05,,NOT_APPLICABLE,42,PRIMARY_ONLY
T1_BEFORE_STOP_63,2018,LOGIT_RULE,FS1_RULE_SUMMARY,348,137,211,0.39367816092,71,5,8,0.0175995000027,0.00765930000125,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
