Mode,Target,Model Variant,Feature Set,Scope,Rows,Overall Success Rate,Top 10% Rows,Top 10% Success Rate,Top 10% Lift,Top 20% Rows,Top 20% Success Rate,Top 20% Lift,Bottom 20% Rows,Bottom 20% Success Rate,Bottom 20% Lift
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,0.776397515528,33,0.909090909091,1.17090909091,65,0.907692307692,1.16910769231,65,0.4,0.5152
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,ERA_2016_2020,319,0.307210031348,32,0.3125,1.01721938776,64,0.265625,0.864636479592,64,0.46875,1.52582908163
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.307210031348,32,0.40625,1.32238520408,64,0.328125,1.06808035714,64,0.1875,0.610331632653
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,319,0.307210031348,32,0.34375,1.11894132653,64,0.328125,1.06808035714,64,0.21875,0.712053571429
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,319,0.307210031348,32,0.125,0.406887755102,64,0.203125,0.661192602041,64,0.34375,1.11894132653
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.307210031348,32,0.21875,0.712053571429,64,0.234375,0.762914540816,64,0.328125,1.06808035714
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,ERA_2016_2020,319,0.238244514107,32,0.28125,1.18050986842,64,0.234375,0.983758223684,64,0.40625,1.70518092105
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.238244514107,32,0.34375,1.44284539474,64,0.375,1.57401315789,64,0.234375,0.983758223684
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,319,0.238244514107,32,0.3125,1.31167763158,64,0.375,1.57401315789,64,0.234375,0.983758223684
PRIMARY_ONLY,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,319,0.238244514107,32,0.15625,0.655838815789,64,0.140625,0.590254934211,64,0.296875,1.24609375
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.238244514107,32,0.15625,0.655838815789,64,0.171875,0.721422697368,64,0.328125,1.37726151316
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ERA_2016_2020,247,0.396761133603,25,0.4,1.00816326531,50,0.36,0.907346938776,50,0.6,1.51224489796
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,0.396761133603,25,0.76,1.91551020408,50,0.56,1.41142857143,50,0.28,0.705714285714
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,247,0.396761133603,25,0.72,1.81469387755,50,0.54,1.36102040816,50,0.3,0.75612244898
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,247,0.396761133603,25,0.44,1.10897959184,50,0.4,1.00816326531,50,0.3,0.75612244898
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,0.396761133603,25,0.24,0.604897959184,50,0.32,0.806530612245,50,0.44,1.10897959184
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ERA_2016_2020,247,0.307692307692,25,0.36,1.17,50,0.32,1.04,50,0.52,1.69
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,0.307692307692,25,0.72,2.34,50,0.54,1.755,50,0.32,1.04
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,247,0.307692307692,25,0.72,2.34,50,0.52,1.69,50,0.3,0.975
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,247,0.307692307692,25,0.2,0.65,50,0.18,0.585,50,0.4,1.3
PRIMARY_ONLY,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,0.307692307692,25,0.16,0.52,50,0.24,0.78,50,0.44,1.43
TRANSFER,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2016_2020,322,0.776397515528,33,0.787878787879,1.01478787879,65,0.738461538462,0.951138461538,65,0.753846153846,0.970953846154
TRANSFER,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,0.776397515528,33,1,1.288,65,0.984615384615,1.26818461538,65,0.384615384615,0.495384615385
TRANSFER,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,322,0.776397515528,33,0.969696969697,1.24896969697,65,0.969230769231,1.24836923077,65,0.4,0.5152
TRANSFER,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,322,0.776397515528,33,0.878787878788,1.13187878788,65,0.876923076923,1.12947692308,65,0.661538461538,0.852061538462
TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,0.776397515528,33,0.969696969697,1.24896969697,65,0.953846153846,1.22855384615,65,0.369230769231,0.475569230769
TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,ERA_2016_2020,319,0.307210031348,32,0.3125,1.01721938776,64,0.265625,0.864636479592,64,0.46875,1.52582908163
TRANSFER,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.307210031348,32,0.28125,0.91549744898,64,0.359375,1.16980229592,64,0.234375,0.762914540816
TRANSFER,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,319,0.307210031348,32,0.34375,1.11894132653,64,0.375,1.22066326531,64,0.21875,0.712053571429
TRANSFER,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,319,0.307210031348,32,0.1875,0.610331632653,64,0.140625,0.45774872449,64,0.5,1.62755102041
TRANSFER,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.307210031348,32,0.28125,0.91549744898,64,0.34375,1.11894132653,64,0.3125,1.01721938776
TRANSFER,JOINT_T2,DUMMY_PRIOR,NONE,ERA_2016_2020,319,0.238244514107,32,0.28125,1.18050986842,64,0.234375,0.983758223684,64,0.40625,1.70518092105
TRANSFER,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.238244514107,32,0.1875,0.787006578947,64,0.21875,0.918174342105,64,0.203125,0.852590460526
TRANSFER,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,319,0.238244514107,32,0.21875,0.918174342105,64,0.21875,0.918174342105,64,0.1875,0.787006578947
TRANSFER,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,319,0.238244514107,32,0.21875,0.918174342105,64,0.171875,0.721422697368,64,0.28125,1.18050986842
TRANSFER,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,0.238244514107,32,0.125,0.524671052632,64,0.21875,0.918174342105,64,0.25,1.04934210526
TRANSFER,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ERA_2016_2020,247,0.396761133603,25,0.4,1.00816326531,50,0.36,0.907346938776,50,0.6,1.51224489796
TRANSFER,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,0.396761133603,25,0.36,0.907346938776,50,0.42,1.05857142857,50,0.44,1.10897959184
