Block Length,Mode,Target,Model Variant,Feature Set,Scope,Metric,Valid Replicates,2.5%,Median,97.5%
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Rows,2000,280,301,320.025
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Positive Count,2000,200,224,257
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Prevalence,2000,0.686660278746,0.750819672131,0.819084839728
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,ROC AUC,2000,0.760368466501,0.790746302539,0.822051148812
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Average Precision,2000,0.846786789939,0.889490530983,0.932254176952
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Brier Score,2000,0.1278695734,0.145802033456,0.164317907381
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Brier Benchmark Score,2000,0.150121962093,0.187839953031,0.223451085018
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Brier Skill Score vs Training Prior,2000,0.073317379531,0.225813600798,0.330786042308
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Log Loss,2000,0.430648609013,0.485605047432,0.538474811385
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Accuracy at 0.50,2000,0.753978229428,0.795597484277,0.836236933798
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Precision at 0.50,2000,0.818171197961,0.864253393665,0.90756302521
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,Recall at 0.50,2000,0.814224757456,0.861471861472,0.922383250311
