Diagnostic,Feature,Era,Rows,Median,Q25,Q75,Mean,Std
DESCRIPTIVE DRIFT DIAGNOSTIC,Price,2024-2026,12483,1456.2362,816.4485,3149.2877,2353.53060127,2783.57361744
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T1,2011-2015,4178,1.04625,0.64,1.5143,1.1172255146,0.546599356822
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T1,2016-2020,4282,1.03295,0.6433,1.519075,1.13483846333,0.581867834677
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T1,2021-2023,3604,1.15615,0.70415,1.57845,1.1892454495,0.560404823299
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T1,2024-2026,2289,1.011,0.6417,1.5,1.10300790738,0.55322042245
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T2,2011-2015,4178,2.5,2.5,2.5,2.33668956438,0.476181644416
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T2,2016-2020,4282,2.5,2.5,2.5,2.34736870621,0.493471365823
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T2,2021-2023,3604,2.5,2.5,2.5,2.36645818535,0.609597348102
DESCRIPTIVE DRIFT DIAGNOSTIC,R:R T2,2024-2026,2289,2.5,2.5,2.5,2.3432924858,0.474061680713
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 120D,2011-2015,18936,4.3596,-6.3647,15.371625,5.71321015526,17.540454816
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 120D,2016-2020,22583,0.5051,-10.9471,10.603,0.67721250941,17.5445984342
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 120D,2021-2023,14079,3.9918,-5.0175,15.16185,6.65954908729,18.7754076184
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 120D,2024-2026,12483,-0.0557,-8.2274,10.00405,2.11180800288,17.5881015898
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 20D,2011-2015,18936,0.8133,-3.560725,5.19375,0.918774730672,7.16987217054
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 20D,2016-2020,22583,-0.109,-4.146,4.14185,0.14834823097,7.47550027158
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 20D,2021-2023,14079,0.5077,-3.0966,4.39795,1.02287024647,6.655762333
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 20D,2024-2026,12483,0.0946,-3.57385,3.9767,0.242157630377,6.48592275169
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 60D,2011-2015,18936,1.9968,-5.559425,9.70545,2.79094236375,12.8385847966
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 60D,2016-2020,22583,0.0545,-7.3316,7.3616,0.348829553204,12.4796538095
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 60D,2021-2023,14079,1.7848,-4.3601,8.846,3.2266828539,11.8949610704
DESCRIPTIVE DRIFT DIAGNOSTIC,RS 60D,2024-2026,12483,-0.0646,-6.3023,7.0351,0.862152711688,11.9799061477
DESCRIPTIVE DRIFT DIAGNOSTIC,RS120 Cross-Sectional Percentile,2011-2015,18936,52.7777777778,27.7777777778,77.7777777778,52.7777777778,28.8236914924
DESCRIPTIVE DRIFT DIAGNOSTIC,RS120 Cross-Sectional Percentile,2016-2020,22583,52.6315789474,27.7777777778,77.7777777778,52.8172099646,28.8098657991
DESCRIPTIVE DRIFT DIAGNOSTIC,RS120 Cross-Sectional Percentile,2021-2023,14079,52.6315789474,26.3157894737,78.9473684211,52.6315789474,28.8285268578
DESCRIPTIVE DRIFT DIAGNOSTIC,RS120 Cross-Sectional Percentile,2024-2026,12483,52.6315789474,26.3157894737,78.9473684211,52.6315789474,28.8286577664
DESCRIPTIVE DRIFT DIAGNOSTIC,RS20 Cross-Sectional Percentile,2011-2015,18936,52.7777777778,27.7777777778,77.7777777778,52.7777777778,28.8236914924
