Target,Model Variant,Feature Set,Scope Type,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2021,1407,384,0.272921108742,0.663469371131,0.421412575543,0.201237548248,0.198478401382,-0.01390149682,0.625810175029,0.731343283582,0.666666666667,0.03125,0.994134897361,0.0597014925373
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2022,895,131,0.146368715084,0.634586946965,0.268073216102,0.145291315104,0.140424412634,-0.0346585211133,0.45927213747,0.826815642458,0.366666666667,0.251908396947,0.925392670157,0.298642533937
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2023,1024,254,0.248046875,0.589620615605,0.349741654575,0.186318308189,0.186703156125,0.00206128243813,0.573183919881,0.7578125,0.65,0.0511811023622,0.990909090909,0.0948905109489
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2024,1149,261,0.227154046997,0.5874797211,0.302067303116,0.182360020878,0.176545642202,-0.0329341387511,0.580907738234,0.773716275022,0.538461538462,0.0268199233716,0.993243243243,0.0510948905109
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2025,687,127,0.184861717613,0.578838582677,0.298413854782,0.15870720192,0.155869936185,-0.0182027772936,0.54130182555,0.803493449782,0.382352941176,0.102362204724,0.9625,0.16149068323
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,EVALUATION_YEAR,2026,255,52,0.203921568627,0.741000378931,0.46519771352,0.139589986456,0.164798704243,0.152966723269,0.44465244164,0.811764705882,0.642857142857,0.173076923077,0.975369458128,0.272727272727
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2016,525,99,0.188571428571,0.506378337364,0.251284365246,0.172722999432,0.159543935919,-0.0826046031568,0.563137077167,0.79619047619,0.404761904762,0.171717171717,0.941314553991,0.241134751773
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2017,1214,447,0.368204283361,0.638315993338,0.518046861951,0.251055034133,0.24495069892,-0.0249206686888,0.745231538439,0.644975288303,0.785714285714,0.0492170022371,0.992177314211,0.0926315789474
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2018,789,163,0.206590621039,0.634871322448,0.285128561843,0.169127086303,0.16919641626,0.000409760197216,0.513602355961,0.752851711027,0.271428571429,0.116564417178,0.918530351438,0.163090128755
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2019,732,110,0.150273224044,0.701812335574,0.333426413099,0.126889425216,0.142569144009,0.10997974984,0.413646952881,0.852459016393,0.538461538462,0.127272727273,0.980707395498,0.205882352941
