Target,Model Variant,Feature Set,Scope,Bucket,Rows,Success Rate,Overall Base Rate,Lift
ENTRY_FILLED,DUMMY_PRIOR,NONE,2024-2026,TOP_20_PERCENT,429,0.741258741259,0.760372960373,0.974862047823
ENTRY_FILLED,DUMMY_PRIOR,NONE,2024-2026,BOTTOM_20_PERCENT,429,0.783216783217,0.760372960373,1.03004291845
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_10_PERCENT,215,0.920930232558,0.760372960373,1.21115594656
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_20_PERCENT,429,0.920745920746,0.760372960373,1.21091354997
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,BOTTOM_20_PERCENT,429,0.452214452214,0.760372960373,0.594727161251
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,TOP_10_PERCENT,215,0.902325581395,0.760372960373,1.18668814966
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,TOP_20_PERCENT,429,0.920745920746,0.760372960373,1.21091354997
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,BOTTOM_20_PERCENT,429,0.4662004662,0.760372960373,0.613120784795
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,TOP_10_PERCENT,215,0.790697674419,0.760372960373,1.03988136826
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,TOP_20_PERCENT,429,0.804195804196,0.760372960373,1.05763335377
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,BOTTOM_20_PERCENT,429,0.708624708625,0.760372960373,0.931943592888
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_10_PERCENT,215,0.916279069767,0.760372960373,1.20503899733
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_20_PERCENT,429,0.927738927739,0.760372960373,1.22011036174
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,BOTTOM_20_PERCENT,429,0.456876456876,0.760372960373,0.600858369099
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,TOP_10_PERCENT,159,0.59748427673,0.537294563843,1.1120236774
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,TOP_20_PERCENT,317,0.552050473186,0.537294563843,1.02746335127
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,BOTTOM_20_PERCENT,317,0.501577287066,0.537294563843,0.933523844869
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_10_PERCENT,159,0.685534591195,0.537294563843,1.27590085091
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_20_PERCENT,317,0.599369085174,0.537294563843,1.11553163852
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,BOTTOM_20_PERCENT,317,0.504731861199,0.537294563843,0.939395064019
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,TOP_10_PERCENT,159,0.698113207547,0.537294563843,1.29931187569
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,TOP_20_PERCENT,317,0.589905362776,0.537294563843,1.09791798107
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,BOTTOM_20_PERCENT,317,0.514195583596,0.537294563843,0.95700872147
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,TOP_10_PERCENT,159,0.603773584906,0.537294563843,1.12372918979
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,TOP_20_PERCENT,317,0.627760252366,0.537294563843,1.16837261087
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,BOTTOM_20_PERCENT,317,0.451104100946,0.537294563843,0.839584338467
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_10_PERCENT,159,0.553459119497,0.537294563843,1.03008509064
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_20_PERCENT,317,0.570977917981,0.537294563843,1.06269066617
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,BOTTOM_20_PERCENT,317,0.413249211356,0.537294563843,0.769129708666
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,TOP_10_PERCENT,158,0.335443037975,0.279010779962,1.20225834292
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,TOP_20_PERCENT,316,0.300632911392,0.279010779962,1.0774956847
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,BOTTOM_20_PERCENT,316,0.240506329114,0.279010779962,0.861996547756
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,TOP_10_PERCENT,158,0.462025316456,0.279010779962,1.65594073648
