Calibration Year,Cohort Level,Observations,T1 Successes,P(T1 Before Stop),T2 Successes,P(T2 Before Stop),Cohort
2025,1,195,90,0.4619289340101523,77,0.39593908629441626,PULLBACK|STRONG BULL|70-79|80-89
2025,1,105,46,0.4392523364485981,39,0.37383177570093457,PULLBACK|STRONG BULL|70-79|90-100
2025,1,2,1,0.5,1,0.5,PULLBACK|STRONG BULL|80-89|70-79
2025,1,31,16,0.5151515151515151,13,0.42424242424242425,PULLBACK|STRONG BULL|80-89|80-89
2025,1,17,8,0.47368421052631576,4,0.2631578947368421,PULLBACK|STRONG BULL|80-89|90-100
2025,2,4,2,0.5,2,0.5,BREAKOUT|BULL
2025,2,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL
2025,2,13,7,0.5333333333333333,4,0.3333333333333333,BREAKOUT|STRONG BULL
2025,2,135,54,0.40145985401459855,41,0.30656934306569344,PULLBACK|BULL
2025,2,254,68,0.26953125,51,0.203125,PULLBACK|NEUTRAL
2025,2,363,167,0.4602739726027397,138,0.38082191780821917,PULLBACK|STRONG BULL
2025,3,18,9,0.5,6,0.35,BREAKOUT
2025,3,752,289,0.38461538461538464,230,0.3063660477453581,PULLBACK
2025,4,770,298,0.3873056994818653,236,0.3069948186528497,OVERALL
2026,1,2,0,0.25,0,0.25,BREAKOUT|BULL|70-79|80-89
2026,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2026,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL|70-79|70-79
2026,1,3,0,0.2,0,0.2,BREAKOUT|STRONG BULL|70-79|80-89
2026,1,3,2,0.6,1,0.4,BREAKOUT|STRONG BULL|70-79|90-100
2026,1,9,5,0.5454545454545454,3,0.36363636363636365,BREAKOUT|STRONG BULL|80-89|80-89
2026,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|STRONG BULL|80-89|90-100
2026,1,18,6,0.35,6,0.35,PULLBACK|BULL|70-79|70-79
2026,1,67,28,0.42028985507246375,24,0.36231884057971014,PULLBACK|BULL|70-79|80-89
2026,1,29,12,0.41935483870967744,6,0.22580645161290322,PULLBACK|BULL|70-79|90-100
2026,1,2,1,0.5,0,0.25,PULLBACK|BULL|80-89|70-79
2026,1,12,4,0.35714285714285715,3,0.2857142857142857,PULLBACK|BULL|80-89|80-89
2026,1,11,3,0.3076923076923077,2,0.23076923076923078,PULLBACK|BULL|80-89|90-100
2026,1,40,4,0.11904761904761904,4,0.11904761904761904,PULLBACK|NEUTRAL|70-79|70-79
