Policy,Year,Start Equity,End Equity,Return %
T2_20D,2026,116912.07715260005,114051.30399347792,-2.4469440872118664
T2_30D,2016,100000.0,99531.91355481019,-0.46808644518980813
T2_30D,2017,99531.91355481019,105768.4946651091,6.265910990312218
T2_30D,2018,105635.06748005051,108090.86651626299,2.3247952548298034
T2_30D,2019,108090.86651626299,107983.20504441555,-0.09960274657548895
T2_30D,2020,107892.31557908352,113098.16776770251,4.825044453516414
T2_30D,2021,112930.45292395251,123872.29044979379,9.689005261680395
T2_30D,2022,123872.29044979379,111608.53664173327,-9.90032053458404
T2_30D,2023,111707.16565986407,118797.83623412524,6.347552130945178
T2_30D,2024,118942.04264781835,122971.30894574874,3.3875879447109014
T2_30D,2025,123098.70420942061,119860.11095052538,-2.630891429519522
T2_30D,2026,120713.47154622851,114928.96973710702,-4.791927309377608
T2_45D,2016,100000.0,99142.97841924333,-0.8570215807566672
T2_45D,2017,99142.97841924333,102550.5068901534,3.4369841669479984
T2_45D,2018,102326.91853032063,102024.43852462164,-0.29560159735423364
T2_45D,2019,102024.43852462164,100060.66344289955,-1.9248085165871065
T2_45D,2020,99960.02239065345,105530.15084056163,5.572356144679103
T2_45D,2021,105372.91817454601,119217.29943449564,13.138462424488395
T2_45D,2022,119217.29943449564,107029.05685696677,-10.223551980579582
T2_45D,2023,107150.69894681052,114109.6342865962,6.494530981305213
T2_45D,2024,114265.67408151808,119508.97915409338,4.588696574646445
T2_45D,2025,119631.56991337072,116649.60166071978,-2.492626532285991
T2_45D,2026,117490.68613337603,109971.97657850705,-6.399409010458667
T2_63D,2016,100000.0,98758.54495527848,-1.2414550447215178
T2_63D,2017,98758.54495527848,103174.02063157113,4.4709808941516105
T2_63D,2018,102950.03469635994,102014.60120429717,-0.9086286321531967
T2_63D,2019,102014.60120429717,100439.06595925185,-1.5444213146411423
T2_63D,2020,100362.650004662,106361.81874423663,5.97749136685406
T2_63D,2021,106204.58607822101,120220.73644126453,13.197311792845223
T2_63D,2022,120220.73644126453,106919.96731528184,-11.06362306512817
T2_63D,2023,107041.6094051256,112466.1836734076,5.06772487673588
T2_63D,2024,112619.49165680604,116728.49398787192,3.6485711936860454
T2_63D,2025,116846.28024275473,113973.66674918483,-2.4584552350334743
T2_63D,2026,114800.7054454739,106745.30976890605,-7.016852070124136
