Calibration Year,As Of Date,Calibration Data End Date,Cohort Level,Observations,Eligible,Setup,Market Regime,Technical Band,Actionability Band,T1 Successes,P(T1 Before Stop),T1 Q25,T1 Median,T1 Q75,T2 Successes,P(T2 Before Stop),T2 Q25,T2 Median,T2 Q75,Cohort
2019,2019-01-01,2018-12-11,1,10,False,PULLBACK,STRONG BULL,80-89,90-100,5,0.5,10.0,10.0,12.0,2,0.25,15.0,16.0,17.0,PULLBACK|STRONG BULL|80-89|90-100
2019,2019-01-01,2018-12-11,2,2,False,BREAKOUT,BULL,,,2,0.75,20.0,22.0,24.0,2,0.75,43.5,50.0,56.5,BREAKOUT|BULL
2019,2019-01-01,2018-12-11,2,5,False,BREAKOUT,STRONG BULL,,,3,0.5714285714285714,19.5,30.0,38.0,2,0.42857142857142855,41.25,45.5,49.75,BREAKOUT|STRONG BULL
2019,2019-01-01,2018-12-11,2,89,True,PULLBACK,BULL,,,32,0.3626373626373626,6.75,9.5,14.75,27,0.3076923076923077,7.5,11.0,25.5,PULLBACK|BULL
2019,2019-01-01,2018-12-11,2,138,True,PULLBACK,NEUTRAL,,,34,0.25,4.5,8.0,10.75,29,0.21428571428571427,9.0,13.0,21.0,PULLBACK|NEUTRAL
2019,2019-01-01,2018-12-11,2,172,True,PULLBACK,STRONG BULL,,,83,0.4827586206896552,6.5,11.0,22.5,70,0.40804597701149425,9.25,15.0,23.75,PULLBACK|STRONG BULL
2019,2019-01-01,2018-12-11,3,7,False,BREAKOUT,,,,5,0.6666666666666666,18.0,26.0,30.0,4,0.5555555555555556,37.0,45.5,56.25,BREAKOUT
2019,2019-01-01,2018-12-11,3,399,True,PULLBACK,,,,149,0.3740648379052369,6.0,10.0,17.0,126,0.3167082294264339,8.25,14.0,24.75,PULLBACK
2019,2019-01-01,2018-12-11,4,406,True,,,,,154,0.3799019607843137,6.0,10.0,18.0,130,0.32107843137254904,9.0,15.0,26.0,OVERALL
2020,2020-01-01,2019-12-06,1,2,False,BREAKOUT,BULL,80-89,80-89,2,0.75,20.0,22.0,24.0,2,0.75,43.5,50.0,56.5,BREAKOUT|BULL|80-89|80-89
2020,2020-01-01,2019-12-06,1,1,False,BREAKOUT,STRONG BULL,70-79,80-89,0,0.3333333333333333,,,,0,0.3333333333333333,,,,BREAKOUT|STRONG BULL|70-79|80-89
2020,2020-01-01,2019-12-06,1,1,False,BREAKOUT,STRONG BULL,70-79,90-100,1,0.6666666666666666,30.0,30.0,30.0,1,0.6666666666666666,37.0,37.0,37.0,BREAKOUT|STRONG BULL|70-79|90-100
2020,2020-01-01,2019-12-06,1,4,False,BREAKOUT,STRONG BULL,80-89,80-89,2,0.5,18.25,27.5,36.75,1,0.3333333333333333,54.0,54.0,54.0,BREAKOUT|STRONG BULL|80-89|80-89
2020,2020-01-01,2019-12-06,1,16,False,PULLBACK,BULL,70-79,70-79,5,0.3333333333333333,8.0,9.0,13.0,5,0.3333333333333333,9.0,13.0,17.0,PULLBACK|BULL|70-79|70-79
2020,2020-01-01,2019-12-06,1,48,True,PULLBACK,BULL,70-79,80-89,19,0.4,5.0,8.0,12.0,18,0.38,5.5,10.0,24.25,PULLBACK|BULL|70-79|80-89
2020,2020-01-01,2019-12-06,1,18,False,PULLBACK,BULL,70-79,90-100,5,0.3,11.0,12.0,19.0,3,0.2,10.0,12.0,19.0,PULLBACK|BULL|70-79|90-100
2020,2020-01-01,2019-12-06,1,1,False,PULLBACK,BULL,80-89,70-79,1,0.6666666666666666,11.0,11.0,11.0,0,0.3333333333333333,,,,PULLBACK|BULL|80-89|70-79
2020,2020-01-01,2019-12-06,1,7,False,PULLBACK,BULL,80-89,80-89,3,0.4444444444444444,7.5,9.0,15.0,2,0.3333333333333333,8.25,8.5,8.75,PULLBACK|BULL|80-89|80-89
2020,2020-01-01,2019-12-06,1,6,False,PULLBACK,BULL,80-89,90-100,1,0.25,21.0,21.0,21.0,1,0.25,34.0,34.0,34.0,PULLBACK|BULL|80-89|90-100
2020,2020-01-01,2019-12-06,1,25,False,PULLBACK,NEUTRAL,70-79,70-79,3,0.14814814814814814,8.5,9.0,11.0,3,0.14814814814814814,15.5,16.0,16.5,PULLBACK|NEUTRAL|70-79|70-79
2020,2020-01-01,2019-12-06,1,82,True,PULLBACK,NEUTRAL,70-79,80-89,29,0.35714285714285715,4.0,9.0,12.0,24,0.2976190476190476,7.75,13.0,26.25,PULLBACK|NEUTRAL|70-79|80-89
2020,2020-01-01,2019-12-06,1,17,False,PULLBACK,NEUTRAL,70-79,90-100,3,0.21052631578947367,7.0,8.0,14.5,3,0.21052631578947367,11.5,14.0,17.5,PULLBACK|NEUTRAL|70-79|90-100
2020,2020-01-01,2019-12-06,1,24,False,PULLBACK,NEUTRAL,80-89,80-89,7,0.3076923076923077,7.0,8.0,14.5,3,0.15384615384615385,6.5,8.0,9.5,PULLBACK|NEUTRAL|80-89|80-89
2020,2020-01-01,2019-12-06,1,7,False,PULLBACK,NEUTRAL,80-89,90-100,0,0.1111111111111111,,,,0,0.1111111111111111,,,,PULLBACK|NEUTRAL|80-89|90-100
2020,2020-01-01,2019-12-06,1,4,False,PULLBACK,STRONG BULL,70-79,70-79,2,0.5,6.5,9.0,11.5,2,0.5,6.5,9.0,11.5,PULLBACK|STRONG BULL|70-79|70-79
2020,2020-01-01,2019-12-06,1,107,True,PULLBACK,STRONG BULL,70-79,80-89,50,0.46788990825688076,7.0,10.0,17.75,44,0.41284403669724773,9.75,15.0,21.0,PULLBACK|STRONG BULL|70-79|80-89
2020,2020-01-01,2019-12-06,1,57,True,PULLBACK,STRONG BULL,70-79,90-100,24,0.423728813559322,8.75,20.0,34.5,20,0.3559322033898305,14.75,21.5,53.25,PULLBACK|STRONG BULL|70-79|90-100
2020,2020-01-01,2019-12-06,1,19,False,PULLBACK,STRONG BULL,80-89,80-89,8,0.42857142857142855,5.0,5.0,6.75,6,0.3333333333333333,5.25,6.0,11.25,PULLBACK|STRONG BULL|80-89|80-89
2020,2020-01-01,2019-12-06,1,11,False,PULLBACK,STRONG BULL,80-89,90-100,6,0.5384615384615384,10.0,11.0,12.0,2,0.23076923076923078,15.0,16.0,17.0,PULLBACK|STRONG BULL|80-89|90-100
